realization,protocol,d_collected,F_cond,P_success,Y_weighted
19,matched,3,0.9588717175431494,0.26072309301243873,0.24999999999999942
19,matched,4,0.9897473521587756,0.2525897133795962,0.2499999999999994
19,matched,5,0.9977166632605363,0.2505721405744591,0.24999999999999936
19,matched,6,0.9992537797221562,0.25018669438459573,0.24999999999999925
19,matched,7,1.0000000000000004,0.24999999999999928,0.2499999999999994
20,matched,1,0.5763769329732614,0.43374393681989576,0.24999999999999958
20,matched,2,0.8462776086309096,0.2954113371904574,0.2499999999999996
20,matched,3,0.9552945110095034,0.26169939962893024,0.24999999999999953
20,matched,4,0.9874449602304254,0.2531786682486694,0.24999999999999944
20,matched,5,0.9973496123158228,0.2506643577265802,0.24999999999999947
20,matched,6,0.9996876194065728,0.250078119551388,0.24999999999999936
20,matched,7,1.0,0.24999999999999942,0.24999999999999942
21,matched,1,0.568299511066219,0.43990887750538493,0.2499999999999995
21,matched,2,0.8401282382237061,0.29757361867585563,0.24999999999999953
21,matched,3,0.955415492125165,0.26166626149625805,0.24999999999999947
21,matched,4,0.9892268936953255,0.2527226075163678,0.24999999999999944
21,matched,5,0.9978210796052349,0.25054591961407163,0.24999999999999936
21,matched,6,0.9997345492208666,0.25006638031548917,0.24999999999999933
21,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
22,matched,1,0.5689788866111885,0.4393836148982396,0.24999999999999958
22,matched,2,0.8380602554681575,0.29830790610675656,0.24999999999999956
22,matched,3,0.9536954699303178,0.2621381854925513,0.24999999999999953
22,matched,4,0.9894566396937383,0.25266392681682415,0.24999999999999944
22,matched,5,0.9974850966330244,0.25063031101303224,0.24999999999999942
22,matched,6,0.9998535130989624,0.2500366270906477,0.24999999999999933
22,matched,7,0.9999999999999996,0.24999999999999936,0.24999999999999925
23,matched,1,0.5674516282199965,0.4405661867324426,0.24999999999999956
23,matched,2,0.8378566113317678,0.29838041094242385,0.24999999999999958
23,matched,3,0.9556725474382861,0.26159587891284863,0.24999999999999947
23,matched,4,0.9868229337286873,0.25333825497486184,0.2499999999999994
23,matched,5,0.9966040300661724,0.2508518854608684,0.2499999999999993
23,matched,6,0.9990708283579226,0.25023250895124266,0.24999999999999928
23,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
24,matched,1,0.5732209837110895,0.43613197545818155,0.24999999999999958
24,matched,2,0.8424971675570989,0.29673690265914887,0.2499999999999995
24,matched,3,0.9566967801855295,0.2613158162312595,0.24999999999999947
24,matched,4,0.9886348345705736,0.2528739543236813,0.24999999999999944
24,matched,5,0.9975167982444638,0.2506223458491887,0.2499999999999994
24,matched,6,0.999341884540437,0.2501646372151866,0.24999999999999933
24,matched,7,0.9999999999999996,0.24999999999999933,0.24999999999999922
25,matched,1,0.5682266319682232,0.4399652989407583,0.24999999999999958
25,matched,2,0.8384413874487063,0.29817230368448855,0.24999999999999958
25,matched,3,0.9556169105935974,0.26161110925162234,0.24999999999999944
25,matched,4,0.9883228290798998,0.2529537845773959,0.24999999999999944
25,matched,5,0.9968943754231958,0.2507788248818947,0.2499999999999994
25,matched,6,0.9994238344762433,0.25014412442046075,0.24999999999999936
25,matched,7,0.9999999999999996,0.24999999999999936,0.24999999999999925
26,matched,1,0.5711349483017277,0.43772492077988856,0.24999999999999953
26,matched,2,0.842209063947227,0.2968384106771671,0.24999999999999947
26,matched,3,0.9523190414130522,0.26251706531988395,0.2499999999999995
26,matched,4,0.9868752375466414,0.25332482819357804,0.24999999999999944
26,matched,5,0.9969725487357805,0.2507591611394056,0.24999999999999947
26,matched,6,0.9994971310703836,0.25012578048350054,0.24999999999999933
26,matched,7,1.0,0.24999999999999942,0.24999999999999942
27,matched,1,0.571796866088837,0.4372182060213642,0.2499999999999995
27,matched,2,0.8465596635699109,0.29531291267263865,0.24999999999999944
27,matched,3,0.9563490129185792,0.2614108412545449,0.24999999999999942
27,matched,4,0.9890296851184124,0.25277299939694725,0.2499999999999994
27,matched,5,0.9970982013592226,0.2507275608954111,0.24999999999999933
