realization,scenario,collected_event,omega_at_infinity,gamma_used_only_in_sampling_law,event_conditioned_transmissivity,S_R_nats,I_QR_nats,A_op
6,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.368788471800778,0.03902236661472758,0.9718513126005908
6,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.006606321886681,0.16577192995689805,0.8804208293662953
6,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.510145639333814,0.664222618850415,0.5208646608691131
6,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.5108584866773143,1.1756215396198284,0.15196831741411276
6,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.016392875792084,1.3378803977835814,0.034923292407536666
6,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.3694644839432124,1.373788927581007,0.009020763475356963
6,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599453,1.3862943611198904,1.1102230246251565e-16
7,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6924149381646201,0.008369378752983714,0.9939627693888745
7,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.3802801053153655,0.03190977823889263,0.9769819605894415
7,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.020947945184866,0.16495944528852569,0.8810069131672249
7,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.5148323123548373,0.6633791869691894,0.521473068365299
7,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.511110372308492,1.1775493543051154,0.15057769307100455
7,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,1.9880918951202975,1.3154506623708309,0.05110292643175007
7,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.3632964648235792,1.37009128865497,0.011688046146152598
7,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599454,1.3862943611198901,3.3306690738754696e-16
8,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6905858010769752,0.01920798950109881,0.9861443644006588
8,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.3708013214073271,0.04802737244701438,0.9653555739718825
8,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.017810858453233,0.18295721963301315,0.8680242632703095
8,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.5003906764936996,0.6838855364169754,0.5066808640377705
8,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.4810214409813662,1.1834737344801665,0.146304156121561
8,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.0003156735318655,1.314958835176073,0.05145770475917577
8,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.360507987637783,1.361462690810937,0.01791226380585842
8,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599452,1.3862943611198904,1.1102230246251565e-16
9,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6900473460230133,0.005631323927030696,0.9959378584484168
9,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.366933921914722,0.049945661180211154,0.9639718211506945
9,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.024214538413295,0.19225131837008114,0.8613199881915593
9,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.5245031097363198,0.7015315855055033,0.49395193028211926
9,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.5307450271537393,1.1987726656296536,0.1352683100714276
9,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.0212116407405736,1.336979586440654,0.03557309043614565
9,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.3710756264515864,1.3729262740471422,0.00964303646301301
9,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599452,1.3862943611198901,3.3306690738754696e-16
10,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6862852967787845,0.0070271292756569625,0.994930997721162
10,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.3695718540304234,0.03874176332485835,0.9720537250879665
10,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.011445740974012,0.18308511249909554,0.8679320080684785
10,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.5159338247617162,0.6793109142175981,0.5099807564182616
10,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.5181752534566844,1.1957184065789543,0.13747149226444466
10,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.0246461082103746,1.3386247299629517,0.034386370235560904
10,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.3816053046180299,1.3823832783383865,0.002821249866691078
10,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599456,1.3862943611198904,1.1102230246251565e-16
11,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6899471266214987,0.010646986648883194,0.9923198225806226
11,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.3713502240984548,0.053393214050857285,0.9614849374358526
11,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.017157395064788,0.21046011073324156,0.8481851209701051
11,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.5600527493273546,0.7202478096785327,0.4804510283828214
11,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.567218287826501,1.237071179408305,0.10764177212048864
11,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.027748057819423,1.3525960810855018,0.024308170746050184
11,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.3786672990586069,1.3797148998861897,0.004746078046790725
11,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599454,1.3862943611198908,-2.220446049250313e-16
12,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6929472191995554,0.004877217290505609,0.9964818314008248
12,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.3745537770075205,0.05207819753232279,0.962433521340841
12,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.02468635211097,0.20716346718173684,0.8505631466217723
12,haar_infinity,4,0.1791228412634908,0.24955167507870055,1.0,2.5064830896463177,0.7153996363754844,0.4839482461736605
12,haar_infinity,5,0.21394627733155508,0.37857606521995424,1.0,2.529040525953664,1.2076505999997313,0.12886423412690318
12,haar_infinity,6,0.2531069454959207,0.5342695832539941,1.0,2.021877998802071,1.3405552419072146,0.03299380023137832
12,haar_infinity,7,0.3041487790407791,0.7144676700506467,1.0,1.380487033943477,1.3829005082288892,0.002448147367677178
12,haar_infinity,8,0.4001374372850266,0.9091262016116897,1.0,0.6931471805599454,1.3862943611198908,-2.220446049250313e-16
13,haar_infinity,1,0.05933380943319986,0.017626949140836214,1.0,0.6924612393138907,0.007231913072861307,0.9947832774368215
13,haar_infinity,2,0.10771681854853912,0.07102157620533171,1.0,1.3584672421206474,0.04118418950774716,0.9702918870170709
13,haar_infinity,3,0.14488830160734412,0.14778320049284444,1.0,2.0013077374118953,0.18658434880832475,0.8654078426333667
